DateTime_start,DateTime_end,Sequence,DateTime_start_sequence,DateTime_end_sequence,Scenario_actual,outlier
2021-03-02T13:32:30Z,2021-03-02T13:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T13:42:30Z,2021-03-02T13:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T13:52:30Z,2021-03-02T13:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T14:02:30Z,2021-03-02T14:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T14:12:30Z,2021-03-02T14:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T14:22:30Z,2021-03-02T14:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T14:32:30Z,2021-03-02T14:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T14:42:30Z,2021-03-02T14:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T14:52:30Z,2021-03-02T14:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T15:02:30Z,2021-03-02T15:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T15:12:30Z,2021-03-02T15:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T15:22:30Z,2021-03-02T15:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T15:32:30Z,2021-03-02T15:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T15:42:30Z,2021-03-02T15:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T15:52:30Z,2021-03-02T15:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T16:02:30Z,2021-03-02T16:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T16:12:30Z,2021-03-02T16:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T16:22:30Z,2021-03-02T16:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T16:32:30Z,2021-03-02T16:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T16:42:30Z,2021-03-02T16:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T16:52:30Z,2021-03-02T16:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T17:02:30Z,2021-03-02T17:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T17:12:30Z,2021-03-02T17:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T17:22:30Z,2021-03-02T17:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T17:32:30Z,2021-03-02T17:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T17:42:30Z,2021-03-02T17:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T17:52:30Z,2021-03-02T17:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T18:02:30Z,2021-03-02T18:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T18:12:30Z,2021-03-02T18:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T18:22:30Z,2021-03-02T18:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T18:32:30Z,2021-03-02T18:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T18:42:30Z,2021-03-02T18:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T18:52:30Z,2021-03-02T18:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T19:02:30Z,2021-03-02T19:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T19:12:30Z,2021-03-02T19:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T19:22:30Z,2021-03-02T19:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T19:32:30Z,2021-03-02T19:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T19:42:30Z,2021-03-02T19:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T19:52:30Z,2021-03-02T19:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T20:02:30Z,2021-03-02T20:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T20:12:30Z,2021-03-02T20:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T20:22:30Z,2021-03-02T20:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T20:32:30Z,2021-03-02T20:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T20:42:30Z,2021-03-02T20:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T20:52:30Z,2021-03-02T20:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T21:02:30Z,2021-03-02T21:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T21:12:30Z,2021-03-02T21:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T21:22:30Z,2021-03-02T21:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T21:32:30Z,2021-03-02T21:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T21:42:30Z,2021-03-02T21:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T21:52:30Z,2021-03-02T21:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T22:02:30Z,2021-03-02T22:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T22:12:30Z,2021-03-02T22:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T22:22:30Z,2021-03-02T22:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T22:32:30Z,2021-03-02T22:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T22:42:30Z,2021-03-02T22:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T22:52:30Z,2021-03-02T22:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T23:02:30Z,2021-03-02T23:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T23:12:30Z,2021-03-02T23:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T23:22:30Z,2021-03-02T23:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T23:32:30Z,2021-03-02T23:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T23:42:30Z,2021-03-02T23:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T23:52:30Z,2021-03-02T23:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-03T00:02:30Z,2021-03-03T00:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
2021-03-03T00:12:30Z,2021-03-03T00:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
2021-03-03T00:22:30Z,2021-03-03T00:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
2021-03-03T00:32:30Z,2021-03-03T00:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
2021-03-03T00:42:30Z,2021-03-03T00:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
2021-03-03T00:52:30Z,2021-03-03T00:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
2021-03-03T01:02:30Z,2021-03-03T01:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
2021-03-03T01:12:30Z,2021-03-03T01:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
2021-03-03T01:22:30Z,2021-03-03T01:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
2021-03-03T01:32:30Z,2021-03-03T01:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
2021-03-03T01:42:30Z,2021-03-03T01:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
2021-03-03T01:52:30Z,2021-03-03T01:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
2021-03-03T02:02:30Z,2021-03-03T02:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
2021-03-03T02:12:30Z,2021-03-03T02:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
2021-03-03T02:22:30Z,2021-03-03T02:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
2021-03-03T02:32:30Z,2021-03-03T02:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
2021-03-03T02:42:30Z,2021-03-03T02:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
2021-03-03T02:52:30Z,2021-03-03T02:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
2021-03-03T03:02:30Z,2021-03-03T03:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,LowPAR,no
