Date;Conditions;X;Y;Z - 21 cm;Z - 51 cm;Z - 81 cm;Z - 111cm;Z - 105.4cm
02/02/2021;noFelt;70;72;761;409;284;217;
02/02/2021;noFelt;70;73,6;723;404;277;217;
02/02/2021;noFelt;70;75,2;730;416;290;223;
02/02/2021;noFelt;70;76,8;734;396;278;214;
02/02/2021;noFelt;70;78,4;712;407;282;223;
02/02/2021;noFelt;70;80;688;400;284;217;
02/02/2021;noFelt;70;81,6;695;390;278;215;
02/02/2021;noFelt;70;83,2;642;394;277;218;
02/02/2021;noFelt;70;84,8;622;382;278;211;
02/02/2021;noFelt;70;86,4;611;371;268;208;
02/02/2021;noFelt;70;88;560;373;269;211;
02/02/2021;noFelt;70;89,6;548;364;269;204;
02/02/2021;noFelt;70;91,2;532;354;262;206;
02/02/2021;noFelt;70;92,8;501;368;274;212;
02/02/2021;noFelt;70;94,4;486;358;271;206;
02/02/2021;noFelt;70;96;463;345;263;208;
02/02/2021;noFelt;70;97,6;428;351;271;208;
02/02/2021;noFelt;70;99,2;417;340;264;202;
02/02/2021;noFelt;70;100,8;396;330;259;206;
02/02/2021;noFelt;70;102,4;367;339;268;204;
02/02/2021;noFelt;80;1,6;104;240;224;189;
02/02/2021;noFelt;80;3,2;118;249;216;184;
