Date;Plant;X;Y;Z_Tip-105.4cm;Z_Tip-91.5cm
03/05/2021;P2;-23;91,2;98;
03/05/2021;P2;-23;92,8;103;
03/05/2021;P2;-23;94,4;106;
03/05/2021;P2;-23;96;104;
03/05/2021;P2;-23;97,6;108;
03/05/2021;P2;-23;99,2;114;
03/05/2021;P2;-23;100,8;113;
03/05/2021;P2;-23;102,4;122;
03/05/2021;P2;-18;1,6;149;
03/05/2021;P2;-18;3,2;148;
03/05/2021;P2;-18;4,8;148;
03/05/2021;P2;-18;6,4;154;
03/05/2021;P2;-18;8;150;
03/05/2021;P2;-18;9,6;148;
03/05/2021;P2;-18;11,2;151;
03/05/2021;P2;-18;12,8;149;
03/05/2021;P2;-18;14,4;153;
03/05/2021;P2;-18;16;153;
03/05/2021;P2;-18;17,6;152;
03/05/2021;P2;-18;19,2;154;
03/05/2021;P2;-18;20,8;156;
03/05/2021;P2;-18;22,4;154;
03/05/2021;P2;-18;24;159;
03/05/2021;P2;-18;25,6;158;
03/05/2021;P2;-18;27,2;158;
03/05/2021;P2;-18;28,8;159;
03/05/2021;P2;-18;30,4;154;
03/05/2021;P2;-18;32;156;
03/05/2021;P2;-18;33,6;160;
03/05/2021;P2;-18;35,2;160;
03/05/2021;P2;-18;36,8;161;
03/05/2021;P2;-18;38,4;157;
03/05/2021;P2;-18;40;156;
03/05/2021;P2;-18;41,6;157;
03/05/2021;P2;-18;43,2;146;
03/05/2021;P2;-18;44,8;118;
03/05/2021;P2;-18;46,4;104;
03/05/2021;P2;-18;48;96;
03/05/2021;P2;-18;49,6;92;
03/05/2021;P2;-18;51,2;87;
03/05/2021;P2;-18;52,8;80;
03/05/2021;P2;-18;54,4;80;
03/05/2021;P2;-18;56;83;
03/05/2021;P2;-18;57,6;97;
03/05/2021;P2;-18;59,2;82;
03/05/2021;P2;-18;60,8;79;
03/05/2021;P2;-18;62,4;83;
03/05/2021;P2;-18;64;100;
03/05/2021;P2;-18;65,6;104;
03/05/2021;P2;-18;67,2;94;
03/05/2021;P2;-18;68,8;100;
03/05/2021;P2;-18;70,4;111;
03/05/2021;P2;-18;72;112;
03/05/2021;P2;-18;73,6;102;
03/05/2021;P2;-18;75,2;102;
03/05/2021;P2;-18;76,8;110;
03/05/2021;P2;-18;78,4;113;
03/05/2021;P2;-18;80;107;
03/05/2021;P2;-18;81,6;111;
03/05/2021;P2;-18;83,2;108;
03/05/2021;P2;-18;84,8;104;
